Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m,IUPAC
333,101.325,1340.6,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.01888,0.73,bis(trifluoromethylsulfonyl)azanide;1-hexyl-3-methylimidazol-3-ium
318,101.325,1222.56,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.04225,0.86,1-ethyl-3-methylimidazol-3-ium;ethylsulfate
313,101.325,1190.53,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0535,0.619,1-butyl-3-methylimidazol-3-ium;tetrafluoroborate
298,101.325,1207.61,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.2132,0.099,1-butyl-3-methylimidazol-3-ium;methylsulfate
298,101.325,1194.4,AAdDEf,diethanolammonium formate,OCC[NH2+]CCO.[O-]C=O,0.95,0.055,bis(2-hydroxyethyl)azanium;formate
313,101.325,1423.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0291,0.6839,bis(trifluoromethylsulfonyl)azanide;1-butyl-3-methylimidazol-3-ium
313,101.325,1070.6,AAmkhS,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,C(#N)[C-](C#N)C#N.C(C)N1C=[N+](C=C1)C,0.0098,1.25,"ethane-1,1,1-tricarbonitrile;1-ethyl-3-methylimidazol-3-ium"
333,101.325,1199.0,ACFchW,bis(1-butyl-3-methylimidazolium) tetrathiocyanatocobaltate,CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],0.05162,0.755,1-butyl-3-methylimidazol-3-ium;cobalt(2+);tetraisothiocyanate
313,101.325,1352.0,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.12,0.301,1-butyl-3-methylimidazol-3-ium;hexafluorophosphate
283,101.325,908.6,ACBneK,tetradecyl(trihexyl)phosphonium dicyanamide,[N-](C#N)C#N.C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,1.1449,0.32,dicyanoazanide;trihexyl(tetradecyl)phosphanium
293,101.325,1105.9,AAiERH,1-ethyl-3-methylimidazolium dicyanamide,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.01682,2.532,cyanoiminomethylideneazanide;1-ethyl-3-methylimidazol-3-ium
303,101.325,1057.9,AAnYiw,1-butyl-3-methylimidazolium dicyanamide,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0243,1.299,1-butyl-3-methylimidazol-3-ium;cyanoiminomethylideneazanide
278,101.325,1117.16,ABCNEm,1-methyl-3-octylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,1.478,0.01484,1-methyl-3-octylimidazol-1-ium;tetrafluoroborate
293,101.325,1055.7,AAmGMR,1-butyl-3-methylimidazolium acetate,CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.562,0.0331,1-butyl-3-methylimidazol-3-ium;acetate
313,101.325,1367.16,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.04842,0.294,bis(trifluoromethylsulfonyl)azanide;1-hexylpyridin-1-ium
318,101.325,1208.7,ABCPXU,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,0.352,0.128,1-ethyl-3-methylimidazol-3-ium;4-methylbenzenesulfonate
328,101.325,1307.4,AAoCYj,"1,3-dimethylimidazolium methylsulfate",CN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.02367,1.083,"1,3-dimethylimidazol-1-ium;methylsulfate"
313,101.325,1462.1,ABZxyK,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCC,0.0261,0.971,bis(trifluoromethylsulfonyl)azanide;1-methyl-3-propylimidazol-3-ium
363,101.325,1383.6,ABEAMK,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,FS(=O)(=O)[N-]S(=O)(=O)F.C(C)N1C=[N+](C=C1)C,0.00496,5.57,bis(fluorosulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium
353,101.325,1346.6,ABdMFR,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,0.01273,1.492,bis(trifluoromethylsulfonyl)azanide;1-butyl-1-methylpyrrolidin-1-ium
298,101.325,1214.34,AAquXI,1-butylpyridinium tetrafluoroborate,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1,0.1603,0.242,1-butylpyridin-1-ium;tetrafluoroborate
363,101.325,1288.0,ABHPsL,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,FS(=O)(=O)[N-]S(=O)(=O)F.C[N+]1(CCCC1)CCC,0.0088,3.22,bis(fluorosulfonyl)azanide;1-methyl-1-propylpyrrolidin-1-ium
