Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m
333,101.325,1340.6,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.01888,0.73
273,101.325,1394.5,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.298,0.0584
298,101.325,1372.4,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.0709,0.2178
313,101.325,1358.8,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.038,0.396
283,101.325,1385.9,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.1567,0.1067
373,101.325,1303.7,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.0072,1.729
293,101.325,1376.9,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.0904,0.1773
353,101.325,1322.3,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.01115,1.177
318,101.325,1222.56,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.04225,0.86
313,101.325,1190.53,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0535,0.619
318,101.325,1187.04,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0426,0.772
303,101.325,1197.75,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0846,0.422
308,101.325,1194.1,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.065,0.52
308,101.325,1229.26,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0626,0.61
303,101.325,1232.67,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0777,0.485
313,101.325,1225.82,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0511,0.72
288,101.325,1243.09,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.1683,0.202
283,101.325,1246.53,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.2291,0.139
298,101.325,1236.02,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0988,0.382
288,101.325,1208.68,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.182,0.1987
333,101.325,1176.38,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0255,1.1769
328,101.325,1179.94,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0295,1.0156
323,101.325,1183.55,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0356,0.902
348,101.325,1165.44,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0162,1.6987
353,101.325,1161.93,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0139,1.8633
283,101.325,1212.38,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.264,0.1556
338,101.325,1172.51,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0213,1.3692
343,101.325,1168.8,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0184,1.5201
293,101.325,1205.02,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.142,0.2613
293,101.325,1239.48,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.128,0.291
298,101.325,1201.36,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.108,0.341
343,101.325,1205.47,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.01891,1.747
298,101.325,1207.61,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.2132,0.099
293,101.325,1210.96,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.289,0.104
343,101.325,1177.07,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.02999,1.008
323,101.325,1190.77,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.0622,0.522
328,101.325,1187.39,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.061,0.626
333,101.325,1183.99,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.0422,0.741
