src,trg,Temperature,DynViscosity,Density,ElecConductivity
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,333,0.01888,1340.6,0.73
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,273,0.298,1394.5,0.0584
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,298,0.0709,1372.4,0.2178
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,313,0.038,1358.8,0.396
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,283,0.1567,1385.9,0.1067
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,373,0.0072,1303.7,1.729
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,293,0.0904,1376.9,0.1773
C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)N1C=[N+](C=C1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,353,0.01115,1322.3,1.177
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],318,0.04225,1222.56,0.86
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,313,0.0535,1190.53,0.619
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,318,0.0426,1187.04,0.772
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,303,0.0846,1197.75,0.422
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,308,0.065,1194.1,0.52
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],308,0.0626,1229.26,0.61
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],303,0.0777,1232.67,0.485
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],313,0.0511,1225.82,0.72
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],288,0.1683,1243.09,0.202
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],283,0.2291,1246.53,0.139
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],298,0.0988,1236.02,0.382
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,288,0.182,1208.68,0.1987
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,333,0.0255,1176.38,1.1769
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,328,0.0295,1179.94,1.0156
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,323,0.0356,1183.55,0.902
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,348,0.0162,1165.44,1.6987
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,353,0.0139,1161.93,1.8633
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,283,0.264,1212.38,0.1556
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,338,0.0213,1172.51,1.3692
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,343,0.0184,1168.8,1.5201
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,293,0.142,1205.02,0.2613
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],293,0.128,1239.48,0.291
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,298,0.108,1201.36,0.341
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],343,0.01891,1205.47,1.747
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],298,0.2132,1207.61,0.099
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],293,0.289,1210.96,0.104
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],343,0.02999,1177.07,1.008
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],323,0.0622,1190.77,0.522
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],328,0.061,1187.39,0.626
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],333,0.0422,1183.99,0.741
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],338,0.02172,1208.84,1.538
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],353,0.01468,1198.67,2.18
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],348,0.0166,1202.12,1.95
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],323,0.03538,1219.12,1.01
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],328,0.0294,1215.79,1.178
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],313,0.0968,1197.34,0.348
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],308,0.1237,1200.72,0.276
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],303,0.1609,1204.22,0.217
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],318,0.0771,1194.11,0.43
CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],333,0.02515,1212.33,1.351
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,298,0.95,1194.4,0.055
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,308,0.52,1187.4,0.106
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,318,0.269,1180.8,0.187
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,328,0.152,1174.1,0.307
OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO.[O-]C=O,338,0.092,1167.3,0.453
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313,0.0291,1423.0,0.6839
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303,0.0422,1432.0,0.4876
