src,trg,Temperature,Pressure,DynViscosity,Density,ElecConductivity
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),283.15,101.325,0.317,1441.0,0.0656
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),288.15,101.325,0.2186,1426.0,0.0791
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),293.15,101.325,0.1558,1409.0,0.0923
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),298.15,101.325,0.1154,1402.0,0.1037
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),303.15,101.325,0.087,1384.0,0.1115
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),308.15,101.325,0.0672,1374.0,0.1149
CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),313.15,101.325,0.05302,1365.0,0.1157
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),298.15,101.325,0.02975,1357.0,0.5439
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),303.15,101.325,0.02433,1352.0,0.6528
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),313.15,101.325,0.017,1341.0,0.9035
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),323.15,101.325,0.01246,1330.0,1.1952
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),333.15,101.325,0.0095,1320.0,1.5247
FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(C)(=O)OCC[N+](COCCC)(C)C,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(C)(=O)OCC[N+](COCCC)(C)C,298.1,101.325,0.179,1393.0,0.121
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,278.15,101.325,0.808,1195.9,0.0495
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,280.65,101.325,0.648,1194.3,0.0603
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,283.15,101.325,0.524,1192.6,0.0764
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,285.65,101.325,0.43,1190.9,0.0897
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,288.15,101.325,0.354,1189.3,0.1106
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,290.65,101.325,0.294,1187.8,0.1278
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,293.15,101.325,0.226,1189.0,0.1549
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,295.65,101.325,0.209,1184.3,0.1766
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,298.15,101.325,0.17,1182.19,0.21
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,300.65,101.325,0.152,1180.6,0.238
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,303.15,101.325,0.129,1172.0,0.281
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,305.65,101.325,0.1129,1177.2,0.315
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,308.15,101.325,0.097,1168.0,0.364
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,310.65,101.325,0.0869,1173.5,0.404
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,313.15,101.325,0.0733,1166.0,0.461
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,315.65,101.325,0.0676,1170.0,0.517
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,318.15,101.325,0.0591,1168.31,0.575
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,320.65,101.325,0.0537,1166.6,0.638
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,323.15,101.325,0.0466,1160.0,0.704
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,325.65,101.325,0.0432,1163.2,0.775
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,328.15,101.325,0.039,1161.5,0.851
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,273.15,101.0,0.579,1539.6,0.0324
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,278.15,101.0,0.399,1534.0,0.046
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,283.15,101.0,0.282,1528.5,0.0634
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,288.15,101.0,0.205,1523.9,0.0853
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,293.15,101.0,0.1533,1518.5,0.1122
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,293.15,101.325,0.151,1519.0,0.11
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,298.15,101.0,0.1159,1513.2,0.145
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,298.15,101.325,0.112,1514.0,0.15
